Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
windowedAverage,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.993750762939,-188.036575489,239,0,1784,0,2380
windowedAverage,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.993750762939,-11.6784393983,0,1067,88,153,1538
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.993750762939,-235.405476835,368,765,2260,35,4032
windowedAverage,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.993750762939,-4.0,0,1410,0,190,1882
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.993750762939,-1425.07884026,1590,200,13353,0,15893
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.993750762939,-1439.95020381,1588,0,13564,0,15902
windowedAverage,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.993750762939,-377.08,0,0,3428,0,4032
windowedAverage,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.993750762939,-196.804547125,332,1125,1900,71,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.993750762939,-318.77674184,402,0,3026,0,4032
windowedAverage,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.993750762939,-6.0,0,1232,0,165,1643
windowedAverage,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.993750762939,-319.545053126,403,0,3025,0,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.993750762939,-318.770385771,402,0,3026,0,4032
windowedAverage,reward_low_FN_rate,realTraffic/speed_6005.csv,0.993750762939,-206.46,239,0,1886,0,2500
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.993750762939,-4.0,0,3026,0,402,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.993750762939,0.0,0,3428,0,0,4032
windowedAverage,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.993750762939,-319.545053126,403,0,3025,0,4032
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.993750762939,-1197.10445742,1319,2284,11247,266,15866
windowedAverage,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.993750762939,-77.4634025349,0,3335,700,530,5315
windowedAverage,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.993750762939,-903.775605489,1035,0,8535,0,10320
windowedAverage,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.993750762939,-8.0,0,1233,0,164,1643
windowedAverage,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.993750762939,-2091.64461824,2268,0,19677,0,22695
windowedAverage,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.993750762939,-197.806810225,250,0,1875,0,2500
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.993750762939,-318.770385771,402,0,3026,0,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.993750762939,-318.770385771,402,0,3026,0,4032
windowedAverage,reward_low_FN_rate,realTraffic/speed_7578.csv,0.993750762939,-85.7073433826,116,0,842,0,1127
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.993750762939,-11.3396103423,250,13477,100,1276,15853
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.993750762939,-317.43412392,405,0,3023,0,4032
windowedAverage,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.993750762939,-377.08,0,0,3428,0,4032
windowedAverage,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.993750762939,-197.55816243,250,0,1871,0,2495
windowedAverage,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.993750762939,-613.039040592,726,0,5791,0,7267
windowedAverage,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.993750762939,-319.545053126,403,0,3025,0,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.993750762939,-278.795484657,270,415,2608,135,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.993750762939,-327.974458789,343,0,3085,0,4032
windowedAverage,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.993750762939,-4.0,0,1219,0,162,1624
windowedAverage,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.993750762939,-1737.11,1499,0,15801,0,18050
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.993750762939,-1456.18254529,1432,0,13660,0,15842
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.993750762939,-285.405918527,465,721,2742,0,4621
windowedAverage,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.993750762939,-6.0,0,1155,0,153,1538
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.993750762939,-320.266747382,403,0,3025,0,4032
windowedAverage,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.993750762939,0.763348300788,100,3025,0,303,4032
windowedAverage,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.993750762939,-2.0,0,3025,0,403,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.993750762939,-271.004325497,372,949,2599,101,4730
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.993750762939,-1433.26419033,1580,0,13501,0,15831
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.993750762939,-443.969639288,790,9252,4268,798,15858
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.993750762939,-1333.16271048,1593,1000,12559,0,15902
windowedAverage,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.993750762939,-377.08,0,0,3428,0,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.993750762939,-318.787567555,402,0,3026,0,4032
