Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
windowedAverage,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.993750762939,-377.073150977,239,0,1784,0,2380
windowedAverage,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.993750762939,-20.3568787966,0,1067,88,153,1538
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.993750762939,-471.8036518,368,765,2260,35,4032
windowedAverage,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.993750762939,-2.0,0,1410,0,190,1882
windowedAverage,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.993750762939,-2852.15768052,1590,200,13353,0,15893
windowedAverage,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.993750762939,-2883.90040761,1588,0,13564,0,15902
windowedAverage,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.993750762939,-754.16,0,0,3428,0,4032
windowedAverage,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.993750762939,-394.590229625,332,1125,1900,71,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.993750762939,-639.553483681,402,0,3026,0,4032
windowedAverage,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.993750762939,-3.0,0,1232,0,165,1643
windowedAverage,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.993750762939,-640.090106253,403,0,3025,0,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.993750762939,-639.540771542,402,0,3026,0,4032
windowedAverage,reward_low_FP_rate,realTraffic/speed_6005.csv,0.993750762939,-413.92,239,0,1886,0,2500
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.993750762939,-2.0,0,3026,0,402,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.993750762939,0.0,0,3428,0,0,4032
windowedAverage,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.993750762939,-640.090106253,403,0,3025,0,4032
windowedAverage,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.993750762939,-2399.13621377,1319,2284,11247,266,15866
windowedAverage,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.993750762939,-148.92680507,0,3335,700,530,5315
windowedAverage,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.993750762939,-1812.55121098,1035,0,8535,0,10320
windowedAverage,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.993750762939,-4.0,0,1233,0,164,1643
windowedAverage,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.993750762939,-4187.28923648,2268,0,19677,0,22695
windowedAverage,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.993750762939,-397.61362045,250,0,1875,0,2500
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.993750762939,-639.540771542,402,0,3026,0,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.993750762939,-639.540771542,402,0,3026,0,4032
windowedAverage,reward_low_FP_rate,realTraffic/speed_7578.csv,0.993750762939,-175.414686765,116,0,842,0,1127
windowedAverage,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.993750762939,-21.3396103423,250,13477,100,1276,15853
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.993750762939,-637.86824784,405,0,3023,0,4032
windowedAverage,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.993750762939,-754.16,0,0,3428,0,4032
windowedAverage,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.993750762939,-397.11632486,250,0,1871,0,2495
windowedAverage,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.993750762939,-1228.07808118,726,0,5791,0,7267
windowedAverage,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.993750762939,-640.090106253,403,0,3025,0,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.993750762939,-556.590969314,270,415,2608,135,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.993750762939,-656.948917577,343,0,3085,0,4032
